t_date,item_code
17.04.2018,DEPO COFFEE
17.04.2018,RHO
17.04.2018,ALPHA
17.04.2018,OMICRON
17.04.2018,IOTA
16.04.2018,KAPPA
16.04.2018,GUVEN KEBAP
16.04.2018,DELTA
16.04.2018,ZEILTA
16.04.2018,DEPO COFFEE
16.04.2018,BLACK AND WHITE
16.04.2018,MIGROS CADDEBOSTAN
16.04.2018,FET RESTORAN
16.04.2018,GAMMA
13.04.2018,IOTA
13.04.2018,DELTA
13.04.2018,EPSILON
13.04.2018,EPSILON
13.04.2018,EPSILON
11.04.2018,ZEILTA
11.04.2018,DELTA
11.04.2018,ZEILTA
10.04.2018,RHO
10.04.2018,IOTA
10.04.2018,CAROUSEL
10.04.2018,CIFA CAFE RESTAURANT
09.04.2018,TELTA
09.04.2018,ZEILTA
09.04.2018,BLACK AND WHITE
09.04.2018,IOTA
05.04.2018,KAYA KARDESLER
05.04.2018,IOTA
05.04.2018,ZEILTA
04.04.2018,DELTA
04.04.2018,TELTA
04.04.2018,OMICRON
03.04.2018,IOTA
02.04.2018,IOTA
02.04.2018,PIO1
02.04.2018,DELTA
02.04.2018,ZEILTA
31.03.2018,DELTA
31.03.2018,EVEA KIZILKAYA GIDA
30.03.2018,GAMMA
30.03.2018,GAMMA
30.03.2018,GAMMA
30.03.2018,DELIKADIN
30.03.2018,COLLEZZINE
29.03.2018,DELTA
29.03.2018,OMICRON
28.03.2018,PIO1
28.03.2018,OMICRON
28.03.2018,EPSILON
28.03.2018,COLLEZZINE
27.03.2018,DELIKADIN
27.03.2018,EPSILON
27.03.2018,DELTA
27.03.2018,OMICRON
27.03.2018,IOTA
27.03.2018,ZEILTA
26.03.2018,PIO1
26.03.2018,KAPPA
26.03.2018,ALPHA
26.03.2018,ZEILTA
26.03.2018,CAROUSEL
26.03.2018,PIO1
26.03.2018,ZEILTA
23.03.2018,ZEILTA
23.03.2018,KAFE PANI
23.03.2018,DELTA
23.03.2018,DELTA
23.03.2018,EPSILON
22.03.2018,OMICRON
22.03.2018,DELTA
21.03.2018,TELTA
21.03.2018,CAROUSEL
21.03.2018,IOTA
20.03.2018,OMICRON
20.03.2018,IOTA
20.03.2018,OMICRON
19.03.2018,ALPHA
19.03.2018,OMICRON
19.03.2018,ZEILTA
19.03.2018,EPSILON
19.03.2018,DELTA
19.03.2018,TELTA
16.03.2018,PIO1
16.03.2018,DELTA
15.03.2018,COLLEZZINE
14.03.2018,DELTA
14.03.2018,IOTA
13.03.2018,TELTA
13.03.2018,IOTA
12.03.2018,TELTA
12.03.2018,DELTA
12.03.2018,DELTA
12.03.2018,ZEILTA
12.03.2018,CAROUSEL
12.03.2018,PIO1
12.03.2018,DELTA
12.03.2018,DELTA
09.03.2018,COLLEZZINE
09.03.2018,DELIKADIN
08.03.2018,SOLAR
08.03.2018,DELTA
07.03.2018,MCDONALTS
07.03.2018,DELTA
07.03.2018,ALPHA
07.03.2018,OMICRON
07.03.2018,EPSILON
07.03.2018,IOTA
06.03.2018,ZEILTA
06.03.2018,DELTA
06.03.2018,OMICRON
06.03.2018,EPSILON
05.03.2018,COLLEZZINE
05.03.2018,DELTA
05.03.2018,ZEILTA
05.03.2018,ALPHA
02.03.2018,EPSILON
01.03.2018,ZEILTA
01.03.2018,SOLAR
28.02.2018,OMICRON
28.02.2018,IOTA
27.02.2018,DELTA
27.02.2018,LAMBDA
27.02.2018,IOTA
26.02.2018,DELTA
26.02.2018,ALPHA
26.02.2018,BLACK AND WHITE
26.02.2018,CAROUSEL
23.02.2018,CEVAHIR
23.02.2018,E01TA
23.02.2018,IOTA
22.02.2018,GAMMA
22.02.2018,OMICRON
22.02.2018,IOTA
21.02.2018,BLACK AND WHITE
21.02.2018,LAMBDA
21.02.2018,LAMBDA
21.02.2018,IOTA
21.02.2018,ZEILTA
21.02.2018,DELIKADIN
20.02.2018,OMICRON
20.02.2018,DEPO COFFEE
19.02.2018,ZEILTA
19.02.2018,MIGROS MODA
19.02.2018,MCDONALTS
16.02.2018,ZEILTA
16.02.2018,DELTA
16.02.2018,COLLEZZINE
15.02.2018,DOMINOS PIO1ZZA
15.02.2018,IOTA
15.02.2018,DELTA
15.02.2018,DELTA
14.02.2018,ZEILTA
14.02.2018,TELTA
13.02.2018,HAND MADE
12.02.2018,DEPO COFFEE
12.02.2018,EPSILON
12.02.2018,IOTA
12.02.2018,CAROUSEL
09.02.2018,ZEILTA
09.02.2018,ZEILTA
09.02.2018,BLACK AND WHITE
08.02.2018,DELTA
07.02.2018,OMICRON
07.02.2018,IOTA
06.02.2018,KAPPA
06.02.2018,OMICRON
06.02.2018,IOTA
05.02.2018,PIO1
05.02.2018,DELTA
05.02.2018,BLACK AND WHITE
05.02.2018,CAROUSEL
05.02.2018,DELTA
02.02.2018,IOTA
02.02.2018,KAPPA
01.02.2018,ZEILTA
01.02.2018,COLLEZZINE
31.01.2018,ZEILTA
31.01.2018,BLACK AND WHITE
31.01.2018,EPSILON
31.01.2018,ZEILTA
30.01.2018,TAU
30.01.2018,OMICRON
29.01.2018,COLLEZZINE
29.01.2018,EPSILON
29.01.2018,OMICRON
29.01.2018,KAPPA
29.01.2018,E01TA
29.01.2018,DELTA
26.01.2018,COLLEZZINE
26.01.2018,PIO1
26.01.2018,RHO
26.01.2018,ALPHA
25.01.2018,GRATIS IC VE DIS TIC
25.01.2018,BLACK AND WHITE
25.01.2018,PIO1
25.01.2018,CAROUSEL
24.01.2018,DELTA
24.01.2018,E01TA
24.01.2018,OMICRON
22.01.2018,RHO
22.01.2018,ALPHA
17.01.2018,OMICRON
17.01.2018,IOTA
17.01.2018,OMICRON
17.01.2018,SOLAR
15.01.2018,IOTA
15.01.2018,OMICRON
12.01.2018,E01TA
12.01.2018,KEMERLI
11.01.2018,DELTA
11.01.2018,ZEILTA
11.01.2018,OMICRON
10.01.2018,TELTA
10.01.2018,JORDAN
10.01.2018,BEITA
08.01.2018,ZEILTA
08.01.2018,BLACK AND WHITE
08.01.2018,OMICRON
08.01.2018,EPSILON
08.01.2018,ZEILTA
08.01.2018,PIO1
08.01.2018,EPSILON
08.01.2018,SOLAR
05.01.2018,OMICRON
05.01.2018,DEPO COFFEE
05.01.2018,TELTA
05.01.2018,ZEILTA
04.01.2018,DELTA
04.01.2018,ZEILTA
02.01.2018,DELTA
02.01.2018,OMICRON
02.01.2018,DEPO COFFEE
02.01.2018,ALPHA
29.12.2017,IOTA
29.12.2017,COLLEZZINE
29.12.2017,DELTA
29.12.2017,ZEILTA
29.12.2017,DEPO COFFEE
28.12.2017,ZEILTA
28.12.2017,OMICRON
28.12.2017,DELTA
27.12.2017,KASDAS KADIKOY SAG.T
27.12.2017,IOTA
26.12.2017,DELTA
26.12.2017,OMICRON
25.12.2017,ZEILTA
25.12.2017,MCDONALTS
25.12.2017,ZEILTA
25.12.2017,EPSILON
25.12.2017,LAMBDA
25.12.2017,OMICRON
25.12.2017,TELTA
25.12.2017,MANDALIN
25.12.2017,PIO1
25.12.2017,OMICRON
22.12.2017,PIO1
22.12.2017,ZEILTA
22.12.2017,TELTA
22.12.2017,LAMBDA
22.12.2017,EPSILON
21.12.2017,PIO1
20.12.2017,TELTA
20.12.2017,OMICRON
20.12.2017,IOTA
19.12.2017,DELTA
19.12.2017,TELTA
18.12.2017,EPSILON
18.12.2017,MANDALIN
18.12.2017,DELTA
15.12.2017,EPSILON
13.12.2017,PIO1
13.12.2017,OMICRON
13.12.2017,IOTA
13.12.2017,ZEILTA
11.12.2017,EPSILON
11.12.2017,OMICRON
11.12.2017,DELTA
11.12.2017,EPSILON
11.12.2017,ZEILTA
11.12.2017,OMICRON
11.12.2017,TELTA
11.12.2017,E01TA
11.12.2017,ALPHA
08.12.2017,DELTA
07.12.2017,OMICRON
07.12.2017,IOTA
07.12.2017,PIO1
06.12.2017,OMICRON
04.12.2017,ZEILTA
04.12.2017,TELTA
04.12.2017,OMICRON
04.12.2017,EPSILON
04.12.2017,DELTA
04.12.2017,ZEILTA
04.12.2017,GAMMA
04.12.2017,OMICRON
04.12.2017,BLACK AND WHITE
04.12.2017,BLACK AND WHITE
04.12.2017,IOTA
04.12.2017,ZEILTA
04.12.2017,DEPO COFFEE
01.12.2017,ZEILTA
30.11.2017,DELTA
29.11.2017,IOTA
29.11.2017,TELTA
28.11.2017,E01TA
28.11.2017,ALPHA
27.11.2017,ZEILTA
27.11.2017,TELTA
27.11.2017,OMICRON
27.11.2017,EPSILON
27.11.2017,DELTA
27.11.2017,OMICRON
27.11.2017,PIO1
27.11.2017,E01TA
27.11.2017,ZEILTA
24.11.2017,LAMBDA
23.11.2017,DELTA
22.11.2017,IOTA
22.11.2017,OMICRON
20.11.2017,EPSILON
20.11.2017,OMICRON
20.11.2017,ZEILTA
16.11.2017,DELTA
13.11.2017,GAMMA
13.11.2017,RHO
10.11.2017,EPSILON
10.11.2017,DELTA
08.11.2017,TELTA
08.11.2017,IOTA
07.11.2017,ZEILTA
07.11.2017,DELTA
06.11.2017,ZEILTA
06.11.2017,DEPO COFFEE
06.11.2017,IOTA
06.11.2017,DELTA
03.11.2017,ZEILTA
03.11.2017,ZEILTA
03.11.2017,DEPO COFFEE
02.11.2017,DELTA
01.11.2017,IOTA
31.10.2017,OMICRON
31.10.2017,ZEILTA
31.10.2017,ALPHA
30.10.2017,DELTA
30.10.2017,TELTA
27.10.2017,BLACK AND WHITE
27.10.2017,EPSILON
26.10.2017,OMICRON
25.10.2017,ZEILTA
24.10.2017,ZEILTA
24.10.2017,DELTA
24.10.2017,DEPO COFFEE
24.10.2017,E01TA
23.10.2017,IOTA
23.10.2017,OMICRON
23.10.2017,EPSILON
23.10.2017,DELTA
20.10.2017,OMICRON
20.10.2017,IOTA
19.10.2017,KAPPA
19.10.2017,DELTA
18.10.2017,TELTA
18.10.2017,IOTA
18.10.2017,ZEILTA
17.10.2017,DELTA
17.10.2017,DEPO COFFEE
16.10.2017,TELTA
16.10.2017,IOTA
16.10.2017,ALPHA
13.10.2017,FK TESIS ISLETMECILG
13.10.2017,EPSILON
13.10.2017,DELTA
13.10.2017,OMICRON
13.10.2017,COLLEZZINE
13.10.2017,TELTA
13.10.2017,ZEILTA
12.10.2017,TELTA
11.10.2017,E01TA
11.10.2017,IOTA
11.10.2017,ZEILTA
10.10.2017,OMICRON
10.10.2017,DELTA
09.10.2017,DEPO COFFEE
09.10.2017,OMICRON
09.10.2017,DELTA
09.10.2017,ALPHA
09.10.2017,ZEILTA
09.10.2017,NU1
09.10.2017,PIO1
09.10.2017,ZEILTA
09.10.2017,OMICRON
09.10.2017,EPSILON
09.10.2017,TELTA
06.10.2017,DELTA
06.10.2017,DEPO COFFEE
06.10.2017,BEITA
06.10.2017,OMICRON
05.10.2017,ZEILTA
05.10.2017,TELTA
04.10.2017,OMICRON
04.10.2017,DELTA
04.10.2017,TELTA
03.10.2017,DEPO COFFEE
02.10.2017,TELTA
02.10.2017,OMICRON
02.10.2017,E01TA
30.09.2017,OMICRON
30.09.2017,TELTA
30.09.2017,KEMERLI
29.09.2017,ZEILTA
29.09.2017,OMICRON
29.09.2017,DELTA
28.09.2017,OMICRON
28.09.2017,TELTA
27.09.2017,TELTA
27.09.2017,DELTA
27.09.2017,OMICRON
27.09.2017,CAROUSEL
27.09.2017,KAPPA
27.09.2017,ALPHA
27.09.2017,ZEILTA
27.09.2017,OMICRON
26.09.2017,TELTA
26.09.2017,DELTA
26.09.2017,ZEILTA
25.09.2017,ALPHA
25.09.2017,TELTA
25.09.2017,E01TA
25.09.2017,DELTA
25.09.2017,CAROUSEL
25.09.2017,HAKAN CEVIZCI
25.09.2017,E01TA
22.09.2017,DELTA
22.09.2017,BLACK AND WHITE
22.09.2017,TELTA
21.09.2017,DELTA
20.09.2017,ALPHA
19.09.2017,TELTA
19.09.2017,ZEILTA
18.09.2017,ALPHA
18.09.2017,TELTA
18.09.2017,OMICRON
18.09.2017,E01TA
14.09.2017,INTERSPORT IST.FORUM
13.09.2017,E01TA
